star,comment
star:"5",值得信赖
star:"1",以前的大众还是很好用的，现在就是垃圾，千万别信
star:"5",优质生活离不开大众点评的指引，谢谢！
star:"5",出行必备
star:"1",明明已经更新了 还要求更新 否则不给用
star:"5",喜欢大众点评
star:"5",我想要L5大众点评粑粑给我吧..
star:"5",不错，用了很多年了也下载了很多软件最后还是回到家这款软件
star:"1",不好用无语
star:"1",不值得使用
star:"1",iPad横屏很难吗？
star:"1",碰上奇葩客户的商家好苦
star:"5",早就应该把地图作为主体来找美食才是正确的！这个版本终于有了！早就想要这个功能了
star:"5",总体还不错
star:"5",期待中奖和家人一起分享快乐的美食大餐！
star:"5",换了新手机 反而没有长按快捷预定酒店了 打过客服电话 回答是每个手机是不一样的 IOS13比IOS14功能齐全？太令人失望
star:"5",生活指南，每天要来溜达一圈
star:"5",很喜欢在大众点评搜索美食，尤其是外地旅游的时候，重来没有失望过，没被坑过，总能吃的心满意足，有时候也会在大众点评团购吃喝玩乐，一直都很给力，点赞！????????????????
star:"5",吃像难看，昨天买了优惠卷，第二天就给我登不上去叫我验证商户单号，但是我翻了记录压根儿就没有他要我填的。哎无语，吃像真的难看
star:"5",优秀的推荐，良心的商家，旅游的指南，购物的参谋。
star:"5",很好用的，有很多真实评论，能帮助到
star:"5",嘻嘻??送了一张优惠券还不错哦 大众点评越来越惊喜啦 么么哒
star:"5",多元化、体验OK！
star:"1",为什么写点评的时候 不让我们评分。然后，将我们写的点评算做无效点评。降我们的橙V。
star:"1",差评，差评差评
star:"5",好软件好
star:"1",无缘无故就处罚我的账户违规，让平台拿出证据，客服永远只会机械式回复这是公司内部机密，不能提供，只会一刀切霸王式处罚，有很多用了好多年的老用户都是这样被寒了心，垃圾大众点评，早日倒闭！
star:"5",越来越离不开大众点评 因为它的功能是我所需要的
star:"1",你们的地图是我用的最烂的地图 一个地方被你的破地图折腾好几遍 不会做地图就不要做
star:"1",我不升级就不让我用？再见??
star:"1",出去玩经常用这个app，这次因为小孩被一家店坑了给了差评，因为影响商家利益所以差评不展示，商家颠倒黑白说虚假消费恶意差评，我能忍？上传了发票和一些证据评论审核还是不通过。所以要这个评论区干什么？游览者看到的都是刷的好评，看不到商家真正的实际情况。
star:"1",...
star:"1",什么垃圾app，可笑死了，没有消费过就可以任意评论，其他平台团购完不可以写评论，就跑到大众来写？垃圾app赶快消失吧！恶心死了，是不是做不起。
star:"1",强制更新，上面环境也不好，都是广告，很讨厌
star:"4",希望商家可以都标注出自家菜品的价格 方便消费者参考
star:"1",加载完图片点击确定不能跳到下一步，写点评严重受阻
star:"5",每一个物体都有好看的照片！
star:"1",更新完不能下载图片了
star:"1",只允许好评，差评说实话的统统收商家钱，根本发不出去，评论几乎都是好评，非常假的一个软件，申诉好几次，就因为说实话，说我存在违规内容
star:"1",哦哦嗖嗖嗖
star:"1",垃圾软件上面全是喷子 毫无参考价值 纵容这么多喷子 老子也来喷一下你这个垃圾软件
star:"1",为什么给了好评，转头第二天就不见的了，明明就是本人亲自去的，又随意帮我删掉了，还叫什么大众点评，真的要那么垃圾吗，评什么评毛线吗，评论自己不见的，搞不懂，都不知道下载来干嘛，垃圾APP
star:"5",好久没来贵酒店、感觉不错??希望继续努力、我还会来消费的哦??????
star:"1",站在四季民福门口，竟然地图上搜不到这家店，垃圾app
star:"3",头像和昵称一直都显示在维护中。啥时候才能改啊？
star:"1",用户不用消费就可以评价，导致太多的恶意评价
star:"1",工作人员真牛啊，比我老板还拽了。以后坚决不用了，但是会一直关注，一旦贵司有任何负面消息了，开party庆祝。\n  这里如果有任何朋友，同样受到大众点评和美团侵害，可以加群一起搜集侵害消费者证据，到时候联名投诉315和相关部门
star:"1",我就纳闷了，你搞个举报就是个摆设吧，坑货玩意儿
star:"5",东西好吃，品种多样，价格实惠，服务态度也很好，环境方面，卫生方面都挺好的，
star:"1",我想修改一下自己门店对外展示的联系方式，联系客服沟通多次都没得到解决，真的太麻烦不好用
star:"1",垃圾美团把这么好的平台弄成现在这样子，真的是无比的愤怒啊，美团你到底多久垮，新平台何时才能出现，让这个无比垄断的市场有一丝活力与勉强的公平公正。
star:"1",消费者想把真实的体验进行评论，却被平台删除，无语了！打个动态还不让发了……无语
star:"1",以前作为一个消费者，会根据“大”会员推荐，去用餐消费。后来作为一个商户，才明白其中的水份…对于消费者评价，不审核真实性，任其胡说八道，诋毁他人名誉，用不当言辞人身攻击，一律给予展示…收着商户的钱，丝毫不会维护商户利益……你起码公平公正一点啊……这种垃圾赶紧倒闭吧
star:"1",莫名其妙诬陷用户，自说自话扣诚信分，谁给你的权力，垄断企业朝南坐。
star:"5",参加了免费试用活动，抽中了，还没去体验，马上要去了，谢谢让我们能有免费体验的机会，以免花冤枉钱
star:"1",缺乏监管
star:"5",到不同的城市享受各种美食，轻轻松松就找到自己喜欢的那种口味的美食，不用自己慢慢去找那种宝藏美食店铺。
star:"1",之前能打开，现在开不了。
star:"5",很好用
star:"5",很好使，吃喝玩乐的解说平台
star:"5",一直都在用大众点评，因为每次想要去什么地方不知道要去的时候，其实只要打开大众点评，就会有很多小伙伴们的测评，打卡和体验感大众点评，真的是我们生活中必不可少的很喜欢大众点评，以后也会一直使用。便利了我们的生活。也为我们带来优惠。
star:"5",好用的评分软件。寻找当地美食必备
star:"5",初次接触这款软件发现了很对很多的美食推荐和秒杀。????这对一个热爱美食的人来说无疑是波绝杀。??????成都大小火锅店都在大众点评上与我不期而遇。\n       随着时间慢慢推移越来越发现这个宝藏软件真的是一款有温度的软件。????不仅仅有很多很多人性化的美食推荐更是全方位涵盖了生活服务。大到出行门票景点酒店。小到奶茶嗦粉。真的是神仙软件完美适配日常生活和出行所需的一切。真的是居家旅行必备的一款软件。大家的评论也都可以使你闭坑踩雷。简直集万千美好的小确幸于一身。????????????\n      啊！总之！要和这个软件一起冲了！毕竟还有什么事情大过生活中美好的事情呢？????
star:"3",这么重要的功能竟然没有，很震惊，美团故意不给大众点评里的外卖开分享接口？\n除了故意为之以外想不到别的可能性，你们内斗还挺厉害啊，但这么做真的让消费者很不方便
star:"5",来到陌生的城市，一切不熟悉，也没有没有，习惯性的打开大众点评，它会告诉我去哪儿吃，去哪儿玩儿，不怕踩雷，因为我至少可以给我后面的小伙伴客观真实的评价，避免其他小伙伴踩雷。棒棒哒
star:"5",每家商户页面上添加聊天按钮，就跟某宝跟商家聊天页面一样，这样就不用因为小事情专门给商户打电话了，更方便了
star:"3",对于有些评论不显示，过于袒护商家，不太好
star:"1",首页推荐的只想说：是啥玩意？！你们的路线是要走妖魔化吗？什么地方都想弄些啥音啥书的破烂，创收能力只有模仿了吗？以至于自己是什么都不会了？本来一个好好的定位APP现在成什么了？网红骗风的培养平台？
star:"5",时常注意发现新店 喜欢品尝新店的我，找到一个好宝贝一样 为我在以后寻找品尝新店 做一个导引 特别喜欢大众点评
star:"5",其实我最早接触大众点评是五六年前，但是那会很少出去吃饭，所以基本上是没有使用过大众点评，最近发现它的好处是因为女儿经常使用它，并且和她吃过三次免费的午餐，感觉真的很不错，以后会经常光顾它，并让它成为生活的一部分！
star:"1",我去鱼是乎吃了个口水鸡，点评了一下，系统既然说我是恶意评价！算了，你让我觉得很无语！果断卸载！真假不分！幸亏我留了证据！不然又说我黑你们！
star:"1",基本都是软广，好吃吗？好吃什么，又贵又难吃，但凡你点差评直接给一个提示，怀疑你盗图，刷评论，不显示评价？这还叫大众点评？怎么不改名呢？改成资本的狗？谁给钱谁你爹？？？
star:"5",找美食、吃美食、说美食、分享美食！
star:"1",整天搞错地址 垃圾
star:"5",点个赞
star:"1",里面的高评分没几个真实的，都是砸钱合作。吃饭看美团点评必踩雷，怕了排行榜了太假。我对网上的评分都不太相信，体验好的店我会长期光顾，给好评，我自己消费真金白银给了钱，你大众点评老删我评论几个意思？合着付钱给你的才是真实评论？？别太恶心好吧！！当了商家后添加个商店定位，立刻有工作人员打电话来问要不要付费合作，说不需要后态度立马变了不鸟你挂电话，加了微信也不鸟人，我欠你钱？恶心平台！！卸载总不见，我以后看到一切美团的东西我都不用，用支付宝口碑不香？亲友店里的美团充电什么的我都会劝他们撤掉886。
star:"1",正常发布动态有何违规！没发任何违禁品，好多都在发，怎么不全部监管一下
star:"1",不能注销，只能连带注销所以美团旗下app，有毛病
star:"1",商户单号最后一个数字输不进去。
star:"5",实惠处理问题积极
star:"5",我经常使用大众点评，觉得还是非常方便的。
star:"1",垃圾垃圾
star:"5",好
star:"1",不支持支付宝，非常不方便
star:"1",一个劲推销自己的小额贷款，付费还定不上票
star:"1",真的感觉大众点评不尊重人虽然有言语自由但也不能任凭别人评论 一个巴掌拍不响 客人想在大众点评上面怎么写就怎么写 他们不尊重服务员和商家 凭什么要别人去尊重客人 就算客人胡编乱造服务员和商家只能默默忍着 真心希望大众点评以后客人乱评乱造求证之后在发表
star:"1",在美食-外卖里的某商家，建议重新确认信誉是否可以入住本软件，不要影响到贵软件的形象！！！
star:"1",大众最黑的地方莫过于评价了，太多都是花钱写了，还有很多是免费体验的，商家部分最坑的是，有些人只要有一点点不满意不爽，这边可以无消费，直接给差。让很多商家都叫苦连天，最重要的是客户还不管说是别人要这样子说他也没有违规。
star:"5",很好用，可以看到各种推荐，消费可以有个参考
star:"1",骗子软件 真实点评还黑你的号，专门黑等级高的号，让你重新注册
star:"5",赞！
star:"5",听朋友说这里的烤肉好吃，专门从清湖过来，味道果然很不错??
star:"5",想要了解一家店铺，进评论区就可以了解大概了
star:"3",我想搜索附近的门店，发现怎么搜索都是按照当前定位查询....假如我现在所在位置是南京大学，然后我想搜索夫子庙附近的游泳馆。我输入游泳馆搜索，然后把左上角定位改成夫子庙，但是每次查询出来都是南京大学附近的游泳馆....这个体验太差了....麻烦程序员有空修修这块地方的逻辑bug....
star:"5",很好的一款软件哦！奈斯
star:"5",推荐吃喝玩乐优惠信息，提供美食餐厅、酒店旅游、电影票、家居装修、美容美发、运动健身等各类生活服务，通过海量真实消费评论的聚合，帮您选到满意商家。大众点评网是中国第一家也是领先的web2.0式的本地搜索门户，是中国领先的本地生活信息及交易平台。想要吃喝玩乐，就来大众点评吧！
star:"5",不错
